ID,fileName,startFrame,endFrame
5,5_N1_I3,2076.22484,2500.71152
5,5_N1_I3,3540.92504,4229.61056
5,5_N1_I3,4229.61056,4860.81344
5,5_N1_I3,4860.81344,5412.425
5,5_N1_I3,5412.425,6027.0464
5,5_N1_I3,6027.0464,6503.48852
5,5_N1_I3,7723.8878,8388.25376
5,5_N1_I3,8388.25376,9263.75756
5,5_N1_I3,9263.75756,9836.37248
5,5_N1_I3,9836.37248,10519.5308
5,5_N1_I3,10519.5308,11103.2
5,5_N1_I3,11103.2,11768.6714
5,5_N1_I3,11768.6714,12305.91236
5,5_N1_I3,12305.91236,12703.86872
6,6_N2_S2,727.88748,1256.57256
6,6_N2_S2,1256.57256,1845.04956
6,6_N2_S2,1845.04956,2298.2082
6,6_N2_S2,2298.2082,2704.16292
6,6_N2_S2,2704.16292,3154.17468
